clinic_id,city,number_of_veterinarians,clinic_capacity,clinic_popularity,opening_year,emergency_enabled,clinic_total_visits,clinic_total_revenue,clinic_avg_visit_revenue,clinic_unique_customers,clinic_unique_pets,emergency_visits,emergency_visit_ratio,clinic_revenue_per_visit,visits_per_veterinarian,revenue_per_veterinarian,capacity_utilization_ratio
C001,Chihuahua,4,36,0.8225646316108401,2017,False,11633,1628145.24,139.95918851543024,2467,2654,0,0.0,139.95918851543024,2908.25,407036.31,323.1388888888889
C002,San Luis Potosí,3,33,0.9168578594140872,2023,True,11712,1651985.2,141.05064890710383,2471,2655,387,0.033043032786885244,141.05064890710383,3904.0,550661.7333333333,354.90909090909093
C003,Chihuahua,5,40,1.1862528132298238,2011,False,18233,2549763.24,139.84331925629354,3517,3893,0,0.0,139.84331925629354,3646.6,509952.64800000004,455.825
C004,San Luis Potosí,5,45,0.970062349796498,2015,False,16921,2329779.13,137.6856645588322,3273,3621,0,0.0,137.6856645588322,3384.2,465955.826,376.02222222222224
C005,Tijuana,6,66,1.0989280440549525,2014,False,33497,5113080.3,152.64293220288383,5198,6155,0,0.0,152.64293220288383,5582.833333333333,852180.0499999999,507.530303030303
C006,Guadalajara,4,32,1.08453678109946,2012,False,16843,2797380.71,166.0856563557561,3314,3653,0,0.0,166.0856563557561,4210.75,699345.1775,526.34375
C007,Mérida,6,60,1.0365191150830908,2015,False,24078,3335379.15,138.5239284824321,4233,4768,0,0.0,138.5239284824321,4013.0,555896.525,401.3
C008,Querétaro,3,27,0.975734600746308,2012,True,11388,1804519.11,158.4579478398314,2452,2610,364,0.0319634703196347,158.4579478398314,3796.0,601506.37,421.77777777777777
C009,Mérida,4,40,0.8644885149016018,2011,False,13516,1859110.69,137.5488820656999,2771,3004,0,0.0,137.5488820656999,3379.0,464777.6725,337.9
C010,Guadalajara,2,22,0.9410275425336676,2012,True,10404,1839964.04,176.851599384852,2320,2469,366,0.03517877739331027,176.851599384852,5202.0,919982.02,472.90909090909093
C011,Mérida,2,18,1.1849789179768444,2023,False,7936,1123758.54,141.60263860887096,1928,2029,0,0.0,141.60263860887096,3968.0,561879.27,440.8888888888889
C012,Chihuahua,6,66,1.1633063543866615,2012,False,29670,4105015.16,138.3557519379845,4875,5634,0,0.0,138.3557519379845,4945.0,684169.1933333334,449.54545454545456
C013,Aguascalientes,6,66,1.1933692563579372,2015,False,30262,4184590.11,138.27870299385367,4963,5797,0,0.0,138.27870299385367,5043.666666666667,697431.6849999999,458.5151515151515
