customer_id,signup_date,age,income,country,loyalty_member,website_visits,app_usage,discount_usage,engagement_score,purchase_propensity,total_orders,total_spent,average_order_value,days_since_last_purchase
6173,2023-01-01,38,70953,Portugal,True,8,4,False,0.20621604851970915,0.36970192241364036,47.0,4547.73,96.76021276595743,7.0
7128,2023-01-03,21,42602,Spain,True,11,4,True,0.4381380413324045,0.4937321792699067,68.0,5440.13,80.00191176470588,10.0
4220,2023-01-03,40,30478,France,False,12,2,True,0.546698594908837,0.32022348747315044,40.0,3978.12,99.453,4.0
1120,2023-01-04,52,22415,Portugal,True,13,1,True,0.5625989654977094,0.57544815092176,118.0,11282.8,95.61694915254236,2.0
2020,2023-01-05,51,39682,Italy,False,9,4,False,0.25458349892774557,0.1363204462877107,17.0,2259.21,132.89470588235295,1.0
7360,2023-01-05,19,53373,Netherlands,False,9,3,False,0.25028336139710594,0.1319940246986776,14.0,1266.14,90.43857142857144,4.0
3181,2023-01-06,21,43411,Portugal,True,11,4,False,0.33638545253121827,0.35731527179049194,67.0,8230.22,122.83910447761193,44.0
9216,2023-01-06,39,25760,Spain,False,15,6,False,0.48262057579752665,0.15179708120811078,31.0,3414.91,110.15838709677419,32.0
1167,2023-01-06,24,37257,Spain,False,9,4,True,0.46974440369020426,0.37766843532870403,64.0,5720.8,89.3875,7.0
495,2023-01-06,41,65993,Spain,False,10,2,False,0.21179524877535996,0.14193135335037638,18.0,1929.23,107.17944444444444,38.0
1212,2023-01-07,18,110336,Spain,True,6,2,False,0.171528760870695,0.3474673099496231,48.0,5167.79,107.66229166666666,4.0
7483,2023-01-07,34,51177,Spain,False,6,4,True,0.4052827931201877,0.3666918599488587,58.0,6221.69,107.27051724137931,1.0
7518,2023-01-07,44,83799,Portugal,False,16,3,False,0.41644405653162775,0.22075881626952623,28.0,1785.21,63.7575,0.0
6372,2023-01-07,19,71701,France,False,8,3,True,0.47029454266036896,0.3861996695241882,60.0,6334.58,105.57633333333334,3.0
1717,2023-01-08,33,37397,Spain,False,8,5,True,0.5003282564334589,0.4177945743345976,71.0,7837.04,110.38084507042254,3.0
8924,2023-01-08,33,79904,Italy,False,8,4,False,0.21225176577290383,0.16486228367338956,27.0,2576.2400000000002,95.41629629629631,1.0
7006,2023-01-08,41,87722,Spain,True,9,2,False,0.28056847570485205,0.3910483264854984,71.0,6628.22,93.35521126760564,0.0
8013,2023-01-08,28,39249,Spain,True,1,3,True,0.34996203393296577,0.47732753770337777,72.0,7883.5599999999995,109.49388888888888,9.0
8438,2023-01-08,20,50444,Spain,True,8,6,True,0.48803496700083027,0.5027023074547161,85.0,6976.24,82.07341176470588,1.0
7281,2023-01-09,18,37690,Germany,False,9,3,False,0.39689646983785676,0.2015042598263383,43.0,5821.32,135.37953488372094,10.0
4063,2023-01-09,48,26669,Italy,True,6,4,True,0.3756986516100224,0.5302980229665021,106.0,10596.53,99.96726415094341,2.0
7204,2023-01-09,43,83394,Spain,False,10,4,True,0.5227536178417883,0.3917412313801337,68.0,6114.85,89.92426470588236,5.0
1785,2023-01-09,34,111431,Germany,False,7,3,False,0.18650669384372826,0.1775245497288971,30.0,3991.7799999999997,133.0593333333333,6.0
8400,2023-01-10,34,48486,Spain,True,8,8,True,0.5708101526764097,0.5803192869007274,80.0,7078.32,88.479,3.0
