order_date,daily_revenue,daily_orders,year,month,day,day_of_week,week_of_year,is_weekend,month_sin,month_cos,weekday_sin,weekday_cos,revenue_lag_1,revenue_lag_7,revenue_lag_14,revenue_lag_30,orders_lag_1,orders_lag_7,orders_lag_14,orders_lag_30,revenue_roll_mean_7,revenue_roll_mean_14,revenue_roll_mean_30,revenue_roll_std_7,revenue_roll_std_14,revenue_roll_std_30,orders_roll_mean_7,orders_roll_mean_14,orders_roll_mean_30
2023-03-01,54756.68,518,2023,3,1,2,9,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,57302.94,56437.35,58696.88,57112.51,501.0,522.0,514.0,542.0,59744.52714285714,59405.28571428572,58424.729999999996,8793.149489926263,7205.569421165949,6398.566418835417,556.7142857142857,549.0,544.3
2023-03-02,53631.11,538,2023,3,2,3,9,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,54756.68,56428.47,52092.77,56712.27,518.0,523.0,517.0,516.0,59344.90428571428,59515.16714285714,58322.024666666664,9029.365176147689,7096.381434294991,6451.510745712166,558.8571428571429,550.5,545.0333333333333
2023-03-03,55755.0,543,2023,3,3,4,9,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,53631.11,56456.45,54199.08,56107.770000000004,538.0,538.0,488.0,519.0,59244.69714285714,59626.30428571429,58310.265666666666,9070.561974734006,7018.47746431103,6456.005703986118,559.5714285714286,554.4285714285714,545.8333333333334
2023-03-04,78290.06,666,2023,3,4,5,9,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,55755.0,78741.79,63134.67,60905.25,543.0,656.0,601.0,527.0,59180.16428571428,60708.832142857136,58889.759333333335,8908.896604682792,8593.326357112766,7407.135726534913,561.0,559.0714285714286,550.4666666666667
2023-03-05,63179.98,593,2023,3,5,6,9,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,78290.06,61624.68,69724.16,50711.02,666.0,651.0,619.0,488.0,59402.34999999999,60241.39071428572,59305.39133333333,8998.962305982843,8235.755847569573,7281.142028582555,552.7142857142857,557.2142857142857,553.9666666666667
2023-03-06,51161.5,468,2023,3,6,0,10,0,1.0,6.123233995736766e-17,0.0,1.0,63179.98,52900.68,59056.8,60230.44,593.0,510.0,518.0,590.0,59153.89571428571,59677.440714285716,59003.09333333334,9229.44314604057,8585.983088455157,7428.188567789841,546.7142857142857,553.6428571428571,549.9
2023-03-07,53714.86,523,2023,3,7,1,10,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,51161.5,57302.94,58817.48,62506.82,468.0,501.0,524.0,601.0,58641.31285714286,59312.96785714286,58710.028,9446.459732468938,8732.35117952,7458.562006884484,549.8571428571429,553.5714285714286,547.3
2023-03-08,51941.65,531,2023,3,8,2,10,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,53714.86,54756.68,56437.35,52980.659999999996,523.0,518.0,522.0,472.0,58239.16571428571,58991.84642857143,58675.39433333334,9696.018620684566,8926.731359221978,7488.436067677574,551.7142857142857,554.2142857142857,549.2666666666667
2023-03-09,57124.36,535,2023,3,9,3,10,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,51941.65,53631.11,56428.47,57324.45,531.0,538.0,523.0,535.0,58738.20142857143,59041.55285714286,58668.72466666667,9507.38327443191,8913.28715378635,7489.769781068839,551.2857142857143,555.0714285714286,549.2666666666667
2023-03-10,50665.0,479,2023,3,10,4,10,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,57124.36,55755.0,56456.45,56281.5,535.0,543.0,538.0,520.0,58011.05857142858,58627.87785714286,58481.508,9957.559555112599,9173.10049682824,7620.553320374108,542.1428571428571,550.8571428571429,547.9
2023-03-11,69838.32,657,2023,3,11,5,10,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,50665.0,78290.06,78741.79,54998.67,479.0,666.0,656.0,547.0,56803.66714285715,57991.91571428571,58976.16299999999,7226.797461404122,7890.292608942595,7864.408401253802,540.8571428571429,550.9285714285714,551.5666666666667
2023-03-12,66323.12,620,2023,3,12,6,10,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,69838.32,63179.98,61624.68,58152.37,657.0,593.0,651.0,509.0,57252.687142857154,58327.51857142857,59248.52133333334,7766.4974260531635,8152.264930766042,7975.593018597096,544.7142857142857,548.7142857142857,555.2666666666667
2023-03-13,57548.86,526,2023,3,13,0,11,0,1.0,6.123233995736766e-17,0.0,1.0,66323.12,51161.5,52900.68,65575.91,620.0,468.0,510.0,652.0,58165.16714285715,58659.53142857143,58980.952999999994,7292.321451505718,8007.616481471644,7890.189571756576,553.0,549.8571428571429,551.0666666666667
2023-03-14,53016.73,511,2023,3,14,1,11,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,57548.86,53714.86,57302.94,70573.46,526.0,523.0,501.0,670.0,58065.434285714284,58353.37357142858,58395.72866666666,7367.71400278688,8144.245694286347,7648.098174029813,551.2857142857143,550.5714285714286,545.7666666666667
2023-03-15,57047.55,510,2023,3,15,2,11,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,53016.73,51941.65,54756.68,48052.56,511.0,531.0,518.0,473.0,58794.84857142857,58517.00714285714,58695.56166666667,6898.1917413295805,8089.250704051103,7400.951051470989,548.2857142857143,550.0,547.0
2023-03-16,57549.1,560,2023,3,16,3,11,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,57047.55,57124.36,53631.11,51257.87,510.0,535.0,538.0,510.0,58855.525714285715,58796.86357142857,58905.26933333334,6882.900081932174,7974.170219898562,7270.924656329972,551.8571428571429,551.5714285714286,548.6666666666666
2023-03-17,58709.03,526,2023,3,17,4,11,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,57549.1,50665.0,55755.0,58696.88,560.0,479.0,543.0,514.0,60004.67285714286,59007.86571428571,58905.67433333334,5886.975123858081,7926.428787174555,7270.912986887373,558.5714285714286,550.3571428571429,549.0666666666667
2023-03-18,65429.95,641,2023,3,18,5,11,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,58709.03,69838.32,78290.06,52092.77,526.0,657.0,666.0,517.0,59374.90571428572,58089.28642857143,59350.247,4794.017556993498,6040.852414243451,7247.68751720596,556.2857142857143,548.5714285714286,553.2
2023-03-19,64794.9,608,2023,3,19,6,11,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,65429.95,66323.12,63179.98,54199.08,641.0,620.0,593.0,488.0,59156.58857142857,58204.63785714285,59703.441,4447.108530522685,6159.785720429144,7246.182350024211,554.5714285714286,549.6428571428571,557.2
2023-03-20,54532.66,502,2023,3,20,0,12,0,1.0,6.123233995736766e-17,0.0,1.0,64794.9,57548.86,51161.5,63134.67,608.0,526.0,468.0,601.0,58725.70285714285,58445.435,59416.70733333334,4763.6983615034305,5924.683350145263,7275.857002907029,551.1428571428571,552.0714285714286,553.9
2023-03-21,56019.12,517,2023,3,21,1,12,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,54532.66,53016.73,53714.86,69724.16,502.0,511.0,523.0,619.0,59154.61571428571,58610.025,58959.87266666666,4273.99868355485,5814.132337467114,7032.544642975323,552.0,551.6428571428571,550.5
2023-03-22,56886.32,544,2023,3,22,2,12,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,56019.12,57047.55,51941.65,59056.8,517.0,510.0,531.0,518.0,59131.58285714286,58963.21571428572,58887.52333333333,4287.6589264567,5520.669379325881,7042.670519841438,556.8571428571429,552.5714285714286,551.3666666666667
2023-03-23,51257.6,488,2023,3,23,3,12,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,56886.32,57549.1,57124.36,58817.48,544.0,560.0,535.0,524.0,58232.79714285714,58544.16142857143,58635.527333333324,5230.435898624875,5881.835842547355,7179.191189589696,546.5714285714286,549.2142857142857,550.1666666666666
2023-03-24,49119.6,463,2023,3,24,4,12,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,51257.6,58709.03,50665.0,56437.35,488.0,526.0,479.0,522.0,56862.87857142858,58433.775714285715,58391.602333333336,6242.750252915851,6053.088789671088,7378.016519783006,537.5714285714286,548.0714285714286,548.2
2023-03-25,69430.2,654,2023,3,25,5,12,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,49119.6,65429.95,69838.32,56428.47,463.0,641.0,657.0,523.0,57434.34285714286,58404.624285714286,58824.99333333333,7258.195819664171,5994.640619682674,7636.07730660608,539.4285714285714,547.8571428571429,552.5666666666667
2023-03-26,71879.67,593,2023,3,26,6,12,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,69430.2,64794.9,66323.12,56456.45,654.0,608.0,620.0,538.0,58446.45285714285,58801.52071428572,59339.10066666666,8788.321299559459,6701.510839089789,7982.450615817923,537.2857142857143,545.9285714285714,554.4
2023-03-27,54395.89,502,2023,3,27,0,13,0,1.0,6.123233995736766e-17,0.0,1.0,71879.67,54532.66,57548.86,78741.79,593.0,502.0,526.0,656.0,58426.91428571429,58576.30857142858,58527.570666666674,8798.61883315,6799.115065943236,7134.374213881902,537.2857142857143,544.2142857142857,549.2666666666667
2023-03-28,61422.24,561,2023,3,28,1,13,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,54395.89,56019.12,53016.73,61624.68,502.0,517.0,511.0,651.0,59198.78857142857,59176.70214285714,58520.82266666667,8789.180220097183,6639.667226802839,7131.438955123624,543.5714285714286,547.7857142857143,546.2666666666667
2023-03-29,49177.6,487,2023,3,29,2,13,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,61422.24,56886.32,57047.55,52900.68,561.0,544.0,510.0,510.0,58097.54285714286,58614.56285714286,58396.72,9575.01652109752,7147.522961025816,7263.781165049244,535.4285714285714,546.1428571428571,545.5
2023-03-30,53222.01,521,2023,3,30,3,13,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,49177.6,51257.6,57549.1,57302.94,487.0,488.0,560.0,501.0,58378.172857142854,58305.485,58260.689,9367.678280925524,7289.291965887361,7322.94251086333,540.1428571428571,543.3571428571429,546.1666666666666
2023-03-31,60631.25,550,2023,3,31,4,13,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,53222.01,49119.6,58709.03,54756.68,521.0,463.0,526.0,518.0,60022.694285714286,58442.78642857143,58456.508,8435.484657158822,7315.534138170121,7304.5339048941105,552.5714285714286,545.0714285714286,547.2333333333333
2023-04-01,60452.24,606,2023,4,1,5,13,1,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,60631.25,69430.2,65429.95,53631.11,550.0,654.0,641.0,538.0,58740.12857142858,58087.235714285714,58683.879,7383.686189646802,7066.54706771682,7255.14752974568,545.7142857142857,542.5714285714286,549.5
2023-04-02,61512.67,591,2023,4,2,6,13,1,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,60452.24,71879.67,64794.9,55755.0,606.0,593.0,608.0,543.0,57259.12857142857,57852.79071428572,58875.80133333334,4946.359612602068,6878.8442368159795,7251.150932514204,545.4285714285714,541.3571428571429,551.1
2023-04-03,58025.08,532,2023,4,3,0,14,0,0.8660254037844387,-0.49999999999999983,0.0,1.0,61512.67,54395.89,54532.66,78290.06,591.0,502.0,502.0,666.0,57777.58428571429,58102.249285714286,58200.302,4783.753977149659,6812.181825913009,6255.805062080148,549.7142857142857,543.5,546.6333333333333
