customer_id,signup_date,age,income,country,loyalty_member,website_visits,app_usage,discount_usage,engagement_score,purchase_propensity,total_orders,total_spent,average_order_value,days_since_last_purchase,customer_tenure_days_x,engagement_index,recency_days,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,customer_segment,avg_spend_per_order,customer_tenure_days_y,purchase_rate
6173,2023-01-01,38,70953,Portugal,True,8,4,False,0.2062160485197091,0.3697019224136403,47.0,4547.73,96.76021276595743,7.0,730,4.461864814555913,7.0,47.0,4547.73,2,3,3,233,At Risk,96.76021276595743,730.0,0.06429548563611491
7128,2023-01-03,21,42602,Spain,True,11,4,True,0.4381380413324045,0.4937321792699067,68.0,5440.13,80.00191176470588,10.0,728,5.731441412399722,10.0,68.0,5440.13,2,4,3,243,At Risk,80.00191176470588,728.0,0.09327846364883402
4220,2023-01-03,40,30478,France,False,12,2,True,0.546698594908837,0.3202234874731504,40.0,3978.12,99.453,4.0,728,5.5640095784726515,4.0,40.0,3978.12,3,2,2,322,At Risk,99.453,728.0,0.05486968449931413
1120,2023-01-04,52,22415,Portugal,True,13,1,True,0.5625989654977094,0.57544815092176,118.0,11282.8,95.61694915254236,2.0,727,5.668779689649313,2.0,118.0,11282.8,4,5,5,455,At Risk,95.61694915254236,727.0,0.1620879120879121
2020,2023-01-05,51,39682,Italy,False,9,4,False,0.2545834989277455,0.1363204462877107,17.0,2259.21,132.89470588235295,1.0,726,4.876375049678323,1.0,17.0,2259.21,5,1,1,511,At Risk,132.89470588235295,726.0,0.023383768913342505
7360,2023-01-05,19,53373,Netherlands,False,9,3,False,0.2502833613971059,0.1319940246986776,14.0,1266.14,90.43857142857144,4.0,726,4.575085008419132,4.0,14.0,1266.14,3,1,1,311,At Risk,90.43857142857144,726.0,0.01925722145804677
3181,2023-01-06,21,43411,Portugal,True,11,4,False,0.3363854525312182,0.3573152717904919,67.0,8230.22,122.83910447761193,44.0,725,5.700915635759366,44.0,67.0,8230.22,1,4,5,145,Loyal Customers,122.83910447761193,725.0,0.09228650137741047
9216,2023-01-06,39,25760,Spain,False,15,6,False,0.4826205757975266,0.1517970812081107,31.0,3414.91,110.1583870967742,32.0,725,7.944786172739258,32.0,31.0,3414.91,1,2,2,122,Other,110.15838709677419,725.0,0.04269972451790634
1167,2023-01-06,24,37257,Spain,False,9,4,True,0.4697444036902042,0.377668435328704,64.0,5720.8,89.3875,7.0,725,4.940923321107061,7.0,64.0,5720.8,2,4,4,244,At Risk,89.3875,725.0,0.0881542699724518
495,2023-01-06,41,65993,Spain,False,10,2,False,0.2117952487753599,0.1419313533503763,18.0,1929.23,107.17944444444444,38.0,725,4.663538574632607,38.0,18.0,1929.23,1,1,1,111,Other,107.17944444444444,725.0,0.024793388429752067
1212,2023-01-07,18,110336,Spain,True,6,2,False,0.171528760870695,0.3474673099496231,48.0,5167.79,107.66229166666666,4.0,724,3.051458628261209,4.0,48.0,5167.79,3,3,3,333,At Risk,107.66229166666666,724.0,0.06620689655172414
7483,2023-01-07,34,51177,Spain,False,6,4,True,0.4052827931201877,0.3666918599488587,58.0,6221.69,107.27051724137932,1.0,724,3.721584837936057,1.0,58.0,6221.69,5,4,4,544,At Risk,107.27051724137931,724.0,0.08
7518,2023-01-07,44,83799,Portugal,False,16,3,False,0.4164440565316277,0.2207588162695262,28.0,1785.21,63.7575,0.0,724,7.424933216959489,0.0,28.0,1785.21,5,2,1,521,At Risk,63.7575,724.0,0.038620689655172416
6372,2023-01-07,19,71701,France,False,8,3,True,0.4702945426603689,0.3861996695241882,60.0,6334.58,105.57633333333334,3.0,724,4.24108836279811,3.0,60.0,6334.58,3,4,4,344,At Risk,105.57633333333334,724.0,0.08275862068965517
1717,2023-01-08,33,37397,Spain,False,8,5,True,0.5003282564334589,0.4177945743345976,71.0,7837.04,110.38084507042254,3.0,723,4.850098476930038,3.0,71.0,7837.04,3,5,5,355,At Risk,110.38084507042254,723.0,0.09806629834254144
8924,2023-01-08,33,79904,Italy,False,8,4,False,0.2122517657729038,0.1648622836733895,27.0,2576.24,95.41629629629632,1.0,723,4.463675529731871,1.0,27.0,2576.2400000000002,5,2,2,522,At Risk,95.41629629629631,723.0,0.03729281767955801
7006,2023-01-08,41,87722,Spain,True,9,2,False,0.280568475704852,0.3910483264854984,71.0,6628.22,93.35521126760564,0.0,723,4.284170542711456,0.0,71.0,6628.22,5,5,4,554,At Risk,93.35521126760564,723.0,0.09806629834254144
8013,2023-01-08,28,39249,Spain,True,1,3,True,0.3499620339329657,0.4773275377033777,72.0,7883.56,109.49388888888888,9.0,723,1.4049886101798896,9.0,72.0,7883.5599999999995,2,5,5,255,At Risk,109.49388888888888,723.0,0.09944751381215469
8438,2023-01-08,20,50444,Spain,True,8,6,True,0.4880349670008302,0.5027023074547161,85.0,6976.24,82.07341176470588,1.0,723,5.146410490100249,1.0,85.0,6976.24,5,5,4,554,At Risk,82.07341176470588,723.0,0.11740331491712708
7281,2023-01-09,18,37690,Germany,False,9,3,False,0.3968964698378567,0.2015042598263383,43.0,5821.32,135.37953488372094,10.0,722,4.619068940951357,10.0,43.0,5821.32,2,3,4,234,At Risk,135.37953488372094,722.0,0.059474412171507604
4063,2023-01-09,48,26669,Italy,True,6,4,True,0.3756986516100224,0.5302980229665021,106.0,10596.53,99.9672641509434,2.0,722,3.712709595483007,2.0,106.0,10596.53,4,5,5,455,At Risk,99.96726415094341,722.0,0.14661134163208853
7204,2023-01-09,43,83394,Spain,False,10,4,True,0.5227536178417883,0.3917412313801337,68.0,6114.85,89.92426470588236,5.0,722,5.3568260853525365,5.0,68.0,6114.85,3,4,4,344,At Risk,89.92426470588236,722.0,0.09405255878284924
1785,2023-01-09,34,111431,Germany,False,7,3,False,0.1865066938437282,0.1775245497288971,30.0,3991.78,133.0593333333333,6.0,722,3.755952008153119,6.0,30.0,3991.7799999999997,2,2,2,222,At Risk,133.0593333333333,722.0,0.04149377593360996
8400,2023-01-10,34,48486,Spain,True,8,8,True,0.5708101526764097,0.5803192869007274,80.0,7078.32,88.479,3.0,721,5.7712430458029225,3.0,80.0,7078.32,3,5,4,354,At Risk,88.479,721.0,0.11080332409972299
1851,2023-01-10,39,38274,Spain,False,7,2,False,0.0886335395946885,0.0,0.0,0.0,0.0,730.0,721,3.426590061878407,,,,,,,,,,,
1614,2023-01-10,44,85286,Spain,False,9,1,False,0.2137581425379882,0.1532676338299848,26.0,1755.97,67.53730769230769,46.0,721,3.9641274427613964,46.0,26.0,1755.97,1,2,1,121,Other,67.53730769230769,721.0,0.036011080332409975
281,2023-01-10,18,90024,Spain,True,5,7,False,0.2488248118256387,0.3419785065398475,59.0,6558.43,111.15983050847458,0.0,721,4.174647443547691,0.0,59.0,6558.43,5,4,4,544,At Risk,111.15983050847458,721.0,0.0817174515235457
442,2023-01-10,18,32425,France,False,6,3,True,0.4057668479241008,0.37879814715963,52.0,5895.24,113.37,10.0,721,3.4217300543772304,10.0,52.0,5895.24,2,3,4,234,At Risk,113.36999999999999,721.0,0.07202216066481995
1527,2023-01-11,18,53630,Germany,False,10,6,False,0.3506882183489735,0.1134892173483125,16.0,2289.16,143.0725,0.0,720,5.905206465504692,0.0,16.0,2289.16,5,1,1,511,At Risk,143.0725,720.0,0.022191400832177532
6366,2023-01-11,31,134523,Spain,True,5,1,False,0.1549572669510521,0.3614021655716654,54.0,6574.11,121.74277777777776,0.0,720,2.3464871800853153,0.0,54.0,6574.11,5,3,4,534,At Risk,121.74277777777777,720.0,0.07489597780859916
3652,2023-01-11,36,124299,Spain,True,6,2,True,0.3253556876243708,0.5760795902819734,74.0,5850.14,79.05594594594595,9.0,720,3.0976067062873116,9.0,74.0,5850.14,2,5,4,254,At Risk,79.05594594594595,720.0,0.10263522884882108
2492,2023-01-11,45,31499,Portugal,False,6,4,True,0.4452970280445827,0.3995190223795995,65.0,7683.84,118.21292307692308,2.0,720,3.7335891084133754,2.0,65.0,7683.84,4,4,5,445,At Risk,118.21292307692308,720.0,0.09015256588072122
