antecedent,consequent,confidence,lift,support
"[""Glove It Women's Imperial Golf Glove"", ""O'Brien Men's Neoprene Life Vest""]",['Pelican Sunstream 100 Kayak'],0.9063829787234042,3.096220141291512,0.015178507803035701
"[""Glove It Women's Imperial Golf Glove"", ""O'Brien Men's Neoprene Life Vest""]",['Field & Stream Sportsman 16 Gun Fire Safe'],0.9191489361702128,2.996844103456458,0.015392289603078459
"[""Glove It Women's Imperial Golf Glove"", ""O'Brien Men's Neoprene Life Vest""]","[""Nike Men's Dri-FIT Victory Golf Polo""]",0.9446808510638298,2.8800144216768895,0.01581985320316397
"[""Glove It Women's Imperial Golf Glove"", ""O'Brien Men's Neoprene Life Vest""]","[""Nike Men's CJ Elite 2 TD Football Cleat""]",0.9148936170212766,2.7252604813541867,0.015321029003064205
"[""Glove It Women's Imperial Golf Glove"", ""O'Brien Men's Neoprene Life Vest""]",['Perfect Fitness Perfect Rip Deck'],0.9446808510638298,2.7327780628692486,0.01581985320316397
"['Titleist Pro V1x Golf Balls', 'Perfect Fitness Perfect Rip Deck']","[""Nike Men's Dri-FIT Victory Golf Polo""]",0.9437229437229437,2.8770940841329717,0.015534810803106962
"['Titleist Pro V1x Golf Balls', 'Perfect Fitness Perfect Rip Deck']",['Field & Stream Sportsman 16 Gun Fire Safe'],0.9307359307359307,3.0346229823460305,0.015321029003064205
"['Titleist Pro V1x Golf Balls', 'Perfect Fitness Perfect Rip Deck']","[""Nike Men's CJ Elite 2 TD Football Cleat""]",0.9264069264069265,2.7595560174630434,0.015249768403049953
"['Titleist Pro V1x Golf Balls', 'Perfect Fitness Perfect Rip Deck']","[""O'Brien Men's Neoprene Life Vest""]",0.9437229437229437,2.9396812584381955,0.015534810803106962
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", ""O'Brien Men's Neoprene Life Vest""]","[""Under Armour Girls' Toddler Spine Surge Runni""]",0.7539159109645507,2.9693241590136235,0.13033563742606713
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", ""O'Brien Men's Neoprene Life Vest""]",['Pelican Sunstream 100 Kayak'],0.8293487221764221,2.8330697707647836,0.14337632722867527
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", ""O'Brien Men's Neoprene Life Vest""]",['Field & Stream Sportsman 16 Gun Fire Safe'],0.8709810387469085,2.839794822661563,0.15057364783011473
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", ""O'Brien Men's Neoprene Life Vest""]","[""Nike Men's Dri-FIT Victory Golf Polo""]",0.8920032976092334,2.7194182653379038,0.1542079384308416
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", ""O'Brien Men's Neoprene Life Vest""]","[""Nike Men's CJ Elite 2 TD Football Cleat""]",0.9122011541632317,2.7172402454622433,0.15769970783153994
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", ""O'Brien Men's Neoprene Life Vest""]",['Perfect Fitness Perfect Rip Deck'],0.9303380049464138,2.6912869971991396,0.16083517423216703
"[""Under Armour Girls' Toddler Spine Surge Runni"", ""Nike Men's Free 5.0+ Running Shoe"", ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's Dri-FIT Victory Golf Polo"", ""Nike Men's CJ Elite 2 TD Football Cleat""]",['Pelican Sunstream 100 Kayak'],0.8685622317596566,2.967023806787551,0.11537091142307418
"[""Under Armour Girls' Toddler Spine Surge Runni"", ""Nike Men's Free 5.0+ Running Shoe"", ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's Dri-FIT Victory Golf Polo"", ""Nike Men's CJ Elite 2 TD Football Cleat""]",['Field & Stream Sportsman 16 Gun Fire Safe'],0.901824034334764,2.9403570338800518,0.11978906862395781
"[""Under Armour Girls' Toddler Spine Surge Runni"", ""Nike Men's Free 5.0+ Running Shoe"", ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's Dri-FIT Victory Golf Polo"", ""Nike Men's CJ Elite 2 TD Football Cleat""]",['Perfect Fitness Perfect Rip Deck'],0.9549356223175965,2.7624431226515838,0.12684386802536876
"[""Under Armour Girls' Toddler Spine Surge Runni"", ""Nike Men's Free 5.0+ Running Shoe"", ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's Dri-FIT Victory Golf Polo"", ""Nike Men's CJ Elite 2 TD Football Cleat""]","[""Diamondback Women's Serene Classic Comfort Bi""]",0.8374463519313304,2.984984672759045,0.11123779662224756
"['Bridgestone e6 Straight Distance NFL Carolina', ""O'Brien Men's Neoprene Life Vest""]","[""Nike Men's Dri-FIT Victory Golf Polo""]",0.9254385964912281,2.8213512545212693,0.015035986603007197
"['Bridgestone e6 Straight Distance NFL Carolina', ""O'Brien Men's Neoprene Life Vest""]","[""Nike Men's CJ Elite 2 TD Football Cleat""]",0.9429824561403509,2.8089307592904995,0.015321029003064205
"['Bridgestone e6 Straight Distance NFL Carolina', ""O'Brien Men's Neoprene Life Vest""]",['Perfect Fitness Perfect Rip Deck'],0.9429824561403509,2.7278649365115535,0.015321029003064205
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""Nike Men's CJ Elite 2 TD Football Cleat"", 'Perfect Fitness Perfect Rip Deck']","[""Under Armour Girls' Toddler Spine Surge Runni""]",0.754775828460039,2.9727109741172404,0.1379605216275921
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""Nike Men's CJ Elite 2 TD Football Cleat"", 'Perfect Fitness Perfect Rip Deck']","[""Nike Men's Free 5.0+ Running Shoe""]",0.7957115009746588,2.936160792315905,0.14544288462908858
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""Nike Men's CJ Elite 2 TD Football Cleat"", 'Perfect Fitness Perfect Rip Deck']",['Pelican Sunstream 100 Kayak'],0.8311890838206628,2.839356478397118,0.1519275992303855
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""Nike Men's CJ Elite 2 TD Football Cleat"", 'Perfect Fitness Perfect Rip Deck']","[""Nike Men's Dri-FIT Victory Golf Polo""]",0.8947368421052632,2.7277519238025545,0.16354307703270862
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""Nike Men's CJ Elite 2 TD Football Cleat"", 'Perfect Fitness Perfect Rip Deck']","[""O'Brien Men's Neoprene Life Vest""]",0.8834307992202729,2.7518722320661686,0.1614765196322953
"[""Nike Men's Free 5.0+ Running Shoe"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's Dri-FIT Victory Golf Polo"", 'Perfect Fitness Perfect Rip Deck']","[""Under Armour Girls' Toddler Spine Surge Runni""]",0.774090909090909,3.0487840940984356,0.12135680182427136
"[""Nike Men's Free 5.0+ Running Shoe"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's Dri-FIT Victory Golf Polo"", 'Perfect Fitness Perfect Rip Deck']",['Pelican Sunstream 100 Kayak'],0.8477272727272728,2.895851221563247,0.1329010190265802
"[""Nike Men's Free 5.0+ Running Shoe"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's Dri-FIT Victory Golf Polo"", 'Perfect Fitness Perfect Rip Deck']","[""Nike Men's CJ Elite 2 TD Football Cleat""]",0.9254545454545454,2.7567190907161185,0.1450865816290173
"[""Nike Men's Free 5.0+ Running Shoe"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's Dri-FIT Victory Golf Polo"", 'Perfect Fitness Perfect Rip Deck']","[""Diamondback Women's Serene Classic Comfort Bi""]",0.8227272727272728,2.932520146858476,0.12898168602579635
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", 'Pelican Sunstream 100 Kayak', 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]","[""Under Armour Girls' Toddler Spine Surge Runni""]",0.8205741626794258,3.2318600125962345,0.0977695432195539
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", 'Pelican Sunstream 100 Kayak', 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]","[""Nike Men's Dri-FIT Victory Golf Polo""]",0.9264354066985646,2.8243901938303186,0.11038266942207653
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", 'Pelican Sunstream 100 Kayak', 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]",['Perfect Fitness Perfect Rip Deck'],0.9527511961722488,2.756124002450045,0.11351813582270363
"[""Under Armour Girls' Toddler Spine Surge Runni"", ""Nike Men's Free 5.0+ Running Shoe"", 'Pelican Sunstream 100 Kayak', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]",['Field & Stream Sportsman 16 Gun Fire Safe'],0.9061967026719727,2.9546139239302494,0.11358939642271788
"[""Under Armour Girls' Toddler Spine Surge Runni"", ""Nike Men's Free 5.0+ Running Shoe"", 'Pelican Sunstream 100 Kayak', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]","[""Nike Men's Dri-FIT Victory Golf Polo""]",0.9204093234792495,2.806018691371781,0.11537091142307418
"[""Under Armour Girls' Toddler Spine Surge Runni"", ""Nike Men's Free 5.0+ Running Shoe"", 'Pelican Sunstream 100 Kayak', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]",['Perfect Fitness Perfect Rip Deck'],0.9579306424104604,2.7711071335695716,0.12007411102401483
"[""Under Armour Girls' Toddler Spine Surge Runni"", ""Nike Men's Free 5.0+ Running Shoe"", 'Pelican Sunstream 100 Kayak', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]","[""Diamondback Women's Serene Classic Comfort Bi""]",0.847072200113701,3.0192949413755565,0.10617829402123566
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]","[""Under Armour Girls' Toddler Spine Surge Runni""]",0.7579120427455815,2.985063063667905,0.1314045464262809
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]","[""Nike Men's Free 5.0+ Running Shoe""]",0.8014796547472256,2.9574451735650316,0.13895817002779162
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]",['Pelican Sunstream 100 Kayak'],0.8372379778051788,2.860019606265841,0.14515784222903158
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]","[""Nike Men's Dri-FIT Victory Golf Polo""]",0.8980682285244554,2.7379082013651277,0.15570441103114088
"[""Diamondback Women's Serene Classic Comfort Bi"", 'Field & Stream Sportsman 16 Gun Fire Safe', ""O'Brien Men's Neoprene Life Vest"", ""Nike Men's CJ Elite 2 TD Football Cleat""]",['Perfect Fitness Perfect Rip Deck'],0.9313604603370325,2.694244761886122,0.1614765196322953
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", ""O'Brien Men's Neoprene Life Vest"", 'Perfect Fitness Perfect Rip Deck']","[""Under Armour Girls' Toddler Spine Surge Runni""]",0.769162605228179,3.029373797127992,0.12370840162474168
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", ""O'Brien Men's Neoprene Life Vest"", 'Perfect Fitness Perfect Rip Deck']",['Pelican Sunstream 100 Kayak'],0.8400531679220203,2.869636345046181,0.13511009762702203
"[""Nike Men's Free 5.0+ Running Shoe"", ""Diamondback Women's Serene Classic Comfort Bi"", ""O'Brien Men's Neoprene Life Vest"", 'Perfect Fitness Perfect Rip Deck']",['Field & Stream Sportsman 16 Gun Fire Safe'],0.8785999113867966,2.8646358170285584,0.14130976982826196
